AllDependency,isImportant
0,1
2,1
2,1
2,1
10,1
5,1
8,1
10,1
17,1
3,1
10,1
5,1
6,1
16,1
7,1
6,1
6,1
1,1
0,1
0,1
2,1
6,1
2,1
0,1
7,1
4,1
8,1
7,1
7,1
4,1
2,1
4,1
4,1
4,1
1,1
10,1
0,1
22,1
10,1
10,1
4,1
4,1
2,1
1,1
0,1
0,1
1,1
28,0
15,0
1,0
22,0
7,0
3,0
0,0
19,0
7,0
9,0
16,0
6,0
0,0
3,0
9,0
7,0
8,0
1,0
18,0
13,0
7,0
23,0
12,0
30,0
9,0
6,0
10,0
5,0
1,0
29,0
25,0
4,0
5,0
36,0
15,0
16,0
6,0
35,0
13,0
10,0
12,0
0,0
17,0
10,0
8,0
2,0
4,0
3,0
7,0
6,0
3,0
8,0
10,0
45,0
5,0
9,0
9,0
9,0
57,0
12,0
0,0
0,0
0,0
5,0
2,0
5,0
13,0
19,0
7,0
3,0
5,0
11,0
1,0
5,0
36,0
5,0
5,0
6,0
6,0
1,0
10,0
10,0
31,0
0,0
7,0
0,0
11,0
17,0
5,0
5,0
2,0
0,0
7,0
6,0
0,0
9,0
8,0
0,0
13,0
0,0
6,0
0,0
0,0
0,0
10,0
9,0
0,0
2,0
2,0
4,0
3,0
0,0
10,0
5,0
3,0
0,0
11,0
13,0
32,0
21,0
9,0
9,0
0,0
23,0
2,0
4,0
5,0
0,0
5,0
