Lines,Statements,% Branches,Calls,Calls/Statements,% Comments,Methods/Class,Avg Stmts/Method,Max Complexity,Max Depth,Avg Depth,Avg Complexity,WMC,NOF,DIT,NMO,NOC,Abstract,isImportant
41,3,0,0,0,24.4,1,0,0,1,0.33,0,0,0,0,0,0,0,1
128,26,7.7,9,0.346153846,30.5,4,3,3,4,1.5,1.5,6,8,0,0,0,0,1
461,241,5.8,202,0.838174274,16.5,3,66,18,5,1.83,7,17,3,0,0,0,0,1
1750,1082,0.6,1059,0.978743068,7.9,9,113.89,5,4,1.94,1.78,16,2,0,0,0,0,1
95,15,0,5,0.333333333,43.2,5,1,1,2,1,1,5,0,4,0,0,0,1
248,34,0,14,0.411764706,48,14,1,1,2,1.24,1,14,0,3,3,0,0,1
54,7,0,0,0,40.7,3,0,0,1,0.43,0,0,0,0,0,0,0,1
169,35,0,11,0.314285714,39.6,11,1,1,2,1.17,1,11,8,2,9,0,0,1
310,37,0,28,0.756756757,64.2,2,0,1,1,0.78,1,2,5,0,0,1,1,1
270,36,0,18,0.5,47.8,17,0.94,1,2,1.36,1,17,0,0,0,0,0,1
892,191,4.2,35,0.183246073,50.8,53,1.83,8,4,1.65,1.17,60,33,0,0,0,0,1
139,28,7.1,11,0.392857143,41.7,4,3,3,4,1.46,1.5,6,10,0,0,0,0,0
103,17,0,6,0.352941176,45.6,6,1,1,2,1.06,1,6,0,4,1,0,0,0
179,27,0,11,0.407407407,53.1,10,1,1,2,1.15,1,10,1,4,2,0,0,0
87,10,0,0,0,55.2,7,0,0,1,0.7,0,0,0,0,0,0,0,0
431,50,0,0,0,71.2,40,0,0,1,0.82,0,0,0,0,0,0,0,0
210,45,0,0,0,46.7,13,1.77,1,2,1.44,1,13,6,0,0,0,0,0
279,29,0,0,0,66.3,25,0,0,1,0.86,0,0,0,0,0,0,0,0
83,10,0,0,0,51.8,8,0,0,1,0.8,0,0,0,0,0,0,0,0
380,71,0,34,0.478873239,48.2,17,1,1,3,2.1,1,11,0,1,5,0,0,0
44,5,0,0,0,31.8,2,0,0,1,0.4,0,0,0,0,0,0,0,0
107,14,0,0,0,56.1,10,0,0,1,0.71,0,0,0,0,0,0,0,0
419,75,2.7,39,0.52,53.9,14,2.5,3,3,1.36,1.14,16,1,0,0,1,1,0
360,56,0,24,0.428571429,50.3,6.33,1,1,3,1.32,1,17,7,4,4,1,0,0
122,16,0,0,0,58.2,12,0,0,1,0.75,0,0,0,0,0,0,0,0
143,17,0,0,0,62.9,15,0,0,1,0.88,0,0,0,0,0,0,0,0
224,39,0,15,0.384615385,46.4,15,1,1,2,1.23,1,15,3,1,9,0,0,0
1344,330,0.9,52,0.157575758,47,92,1.88,4,3,1.51,1.03,95,57,0,0,0,0,0
58,6,0,0,0,41.4,4,0,0,1,0.67,0,0,0,0,0,0,0,0
62,8,0,0,0,43.5,4,0,0,1,0.5,0,0,0,0,0,0,0,0
235,44,0,16,0.363636364,47.7,16,1,1,2,1.09,1,16,0,4,9,0,0,0
46,3,0,0,0,30.4,1,0,0,1,0.33,0,0,0,0,0,0,0,0
37,3,0,0,0,32.4,1,0,0,1,0.33,0,0,0,0,0,0,0,0
81,13,0,2,0.153846154,37,3,1.33,1,2,1.15,1,3,4,0,0,1,0,0
55,13,0,6,0.461538462,23.6,2,1,1,2,1,1,2,7,0,0,1,0,0
334,100,2,85,0.85,33.2,4,2.75,4,3,1.13,2,8,83,0,0,0,0,0
36,4,0,0,0,25,1,0,0,1,0.25,0,0,0,0,0,0,0,0
34,3,0,0,0,26.5,1,0,0,1,0.33,0,0,0,0,0,0,0,0
77,12,0,4,0.333333333,41.6,4,1,1,2,1,1,4,0,4,1,0,0,0
104,17,0,6,0.352941176,44.2,6,1,1,2,1.06,1,6,0,4,1,0,0,0
106,17,0,6,0.352941176,45.3,6,1,1,2,1.06,1,6,0,4,1,0,0,0
80,13,0,5,0.384615385,37.5,5,1,1,2,1.15,1,5,0,1,3,1,0,0
256,97,2.1,69,0.711340206,31.3,9,2,3,4,1.2,1.22,11,68,0,0,1,0,0
87,15,0,0,0,39.1,4,1.5,1,2,1.27,1,4,3,0,0,0,0,0
117,25,8,8,0.32,41,4,3,3,4,1.52,1.5,6,7,0,0,1,0,0
122,35,5.7,18,0.514285714,24.6,4,3,3,4,1.37,1.5,6,17,0,0,1,0,0
91,18,0,11,0.611111111,41.8,2,1,1,2,1,1,2,12,0,0,0,0,0
133,40,5,23,0.575,27.8,4,3,3,4,1.33,1.5,6,22,0,0,1,0,0
120,24,8.3,7,0.291666667,32.5,4,3,3,4,1.54,1.5,6,6,0,0,0,0,0
366,174,26.4,97,0.557471264,6,3,53,50,5,2.83,20,46,3,0,0,0,0,0
